"Our recommended products","Our recommended products",module,Stacc_Recommender
"Shop ID and API Key verified","Shop ID and API Key verified",module,Stacc_Recommender
"Please check your API Key and Shop ID","Please check your API Key and Shop ID",module,Stacc_Recommender
"Can't connect to STACC server","Can't connect to STACC server",module,Stacc_Recommender
"Failed to verify the Shop ID and the API Key","Failed to verify the Shop ID and the API Key",module,Stacc_Recommender
